rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,total_purchase,total_plays,total_play_hours,list_of_users_ids_for_the_game
1953,Hulk,PS2,2003,Action,Universal Interactive,,,0,,,,,,
1974,Arc the Lad II,PS,1996,Role-Playing,Sony Computer Entertainment,0,0,,,,,,,
2382,Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,,,0,,,,,,
2398,Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,,,0,,,,,,
2611,WCW Mayhem,N64,1999,Fighting,Electronic Arts,,,0,,,,,,
2632,Lips,X360,2008,Misc,Microsoft Game Studios,,,0,,,,,,
2713,Kane & Lynch: Dead Men,X360,2007,Shooter,Eidos Interactive,,,,,,,,,
2911,Star Wars: Obi-Wan,XB,2001,Action,Activision,,,0,,,,,,
3062,NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,,,0,,,,,,
3148,Lost Planet: Extreme Condition,PS3,2008,Shooter,Capcom,,,,,,,,,
3163,TimeSplitters 2,XB,2002,Shooter,Eidos Interactive,,,0,,,,,,
3308,Yakuza: Dead Souls,PS3,2011,Shooter,Sega,,,,,,,,,
3349,WarioWare D.I.Y.,DS,2009,Misc,Nintendo,,,,,,,,,
3783,Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994,Strategy,Tecmo Koei,0,0,,0,,,,,
4236,Razor Freestyle Scooter,PS,1999,Sports,Ubisoft,,,0,,,,,,
4750,Buzz! Junior: Jungle Party,PS2,2006,Misc,Sony Computer Entertainment,,,0,,,,,,
4765,Hatsune Miku: Project Diva 2nd,PSP,2010,Misc,Sega,0,0,,0,,,,,
4789,Overlord,X360,2007,Strategy,Codemasters,,,,,,79.0,22,310.49999999999994,"36546868,70408902,93126933,40212239,54761333,35701646,87694960,20772968,86912006,86055705,31669242,70915652,47384303,47457723,30440303,53091150,66725148,20914736,43955374,29753085,76892907,116515230,22301321,134641355,29239329,34177747,62990992,16084897,130312302,39037163,83770731,58905429,33013552,86540,124725852,44472980,24721232,46785501,56038151,103624897,38049880,116876958,11149819,127344335,88579585,48798067,14544587,33651880,14126086,9128105,11403772,27279261,73721802,26762388,65398650,43360645,49893565,175447188,36404933,33865373,207830797,59662830,87734805,80189887,122026623,59825286,110881546,72627862,61676491,117531196,10599862,252352661,99077905,115632831,86469479,138482130,17530772,30246419,225848614"
4902,The House of The Dead III,XB,2002,Shooter,Sega,,,0,,,,,,
5240,U-Sing,Wii,2009,Misc,Mindscape,0,,0,,,,,,
5295,WWE Crush Hour,PS2,2003,Racing,THQ,,,0,,,,,,
5410,Smart Girl's Party Game,DS,2008,Misc,505 Games,,0,0,,,,,,
5575,Dead Space 2,PC,2011,Shooter,Electronic Arts,,,0,,,83.0,27,270.9,"8795607,58345543,264500948,159800136,49228258,52731290,35701646,13190476,20772968,173434036,85366890,81439192,86256882,77980915,91807066,74772820,11373749,90272527,29753085,49624770,49462664,69009454,116515230,156818121,22301321,112199961,82263745,62633395,16084897,58931437,65958466,38317154,124725852,57603447,71888942,66615366,59332369,44472980,24721232,103371488,56038151,101596530,73564778,77127388,68316900,138725344,48798067,154230933,33651880,75232211,198346312,11403772,16154372,13565651,55367062,47384202,45617627,36404933,19696244,69954842,167013261,59662830,42657809,122026623,59825286,151229648,170460109,44314169,33452361,9823354,117531196,131610144,81585721,154940949,10599862,53875128,99077905,50700418,11161178,99713453,17530772,30246419,171067153"
5797,NCAA Final Four 2002,PS2,2001,Sports,Sony Computer Entertainment,,,0,,,,,,
5850,PowerUp Heroes,X360,2011,Fighting,Ubisoft,,,0,,,,,,
6016,Medieval Moves: Deadmund's Quest,PS3,2011,Action,Sony Computer Entertainment,,,0,,,,,,
6090,Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,0,0,,0,,,,,
6275,Motocross Maniacs Advance,GBA,2002,Racing,Konami Digital Entertainment,,,0,0,,,,,
6946,Sands of Destruction,DS,2008,Role-Playing,Sega,,0,,,,,,,
7015,ESPN NHL Hockey,PS2,2003,Sports,Sega,,,0,,,,,,
7196,Mobile Suit Gundam Seed,PS2,2003,Action,Namco Bandai Games,0,0,,0,,,,,
7639,Nobunaga no Yabou: Reppuuden,PS,1999,Strategy,Tecmo Koei,0,0,,,,,,,
7658,The Cheetah Girls: Passport to Stardom,DS,2008,Misc,Disney Interactive Studios,,0,0,,,,,,
7950,Disney's Meet the Robinsons,Wii,2007,Action,Disney Interactive Studios,,0,0,,,,,,
8143,Pirates: Hunt For Blackbeard's Booty,Wii,2008,Adventure,Activision,,,0,,,,,,
8743,Blinx 2: Masters of Time & Space,XB,2004,Platform,Microsoft Game Studios,,,0,,,,,,
8841,Syndicate,PS3,2012,Shooter,EA Games,,,0,,,,,,
9131,Akiba's Trip,PSP,2011,Adventure,Acquire,0,0,,0,,,,,
9255,Dead Rising 2,PC,2010,Action,Capcom,,,0,,,27.0,21,127.69999999999999,"16084897,64973908,86041729,39037163,10450544,80189887,33282871,86433707,106147454,49767455,55426012,20772968,48028873,26762388,106806146,205965436,24469287,123039887,103624897,49462664,110906645,86469479,216025815,17530772,152585209,118852041,92958887"
9523,Pop'n Music Portable,PSP,2010,Misc,Konami Digital Entertainment,0,0,,0,,,,,
9781,Making History: The Great War,PSP,2010,Strategy,Namco Bandai Games,0,0,,0,,,,,
10114,Samurai Warriors 4-II,PS4,2015,Action,Tecmo Koei,,,,,,,,,
10148,Tokimeki Memorial: Girl's Side 2nd Season,DS,2008,Adventure,Konami Digital Entertainment,0,0,,0,,,,,
10591,All Kamen Rider: Rider Generation 2,DS,2012,Action,Namco Bandai Games,0,0,,0,,,,,
10638,Flying Dragon,N64,1997,Fighting,Natsume,,,0,0,,,,,
10976,Island Xtreme Stunts,PS2,2002,Action,Electronic Arts,,,0,,,,,,
11224,Charlotte's Web,DS,2006,Action,Sega,,0,0,,,,,,
11690,R: Racing Evolution,GC,2003,Racing,Namco Bandai Games,,,0,0,,,,,
11740,Gale Racer,SAT,1994,Racing,Sega,0,0,,0,,,,,
11977,Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,DS,2009,Sports,Konami Digital Entertainment,0,0,,0,,,,,
12110,Alan Wake,PC,2012,Action,Nordic Games,0,,0,,,130.0,88,1045.0,"36546868,26465134,116564064,81943620,55426012,46301758,127311699,87694960,183421285,87341384,74772820,91807066,94110492,30440303,53091150,11373749,134516625,69009454,12610800,94379559,58931437,62990992,126269125,58905429,199693353,195962272,56038151,142793906,123625432,73564778,162446312,298950,116876958,154230933,148362155,33651880,64369759,30519870,70398582,65754991,9128105,16154372,55367062,45617627,24469287,151603712,36404933,136495026,8259307,116482142,103848468,33865373,19696244,69954842,22371742,81672131,87832209,87040683,44314169,55975168,9823354,65064340,129211317,10599862,160598077,15221799,99077905,11161178,162068651,49350285,154485753,92593907,21061921,30061970,30425578,35701646,36557643,13190476,173434036,85366890,11731710,60608576,86182317,92482012,22301321,58057627,65909415,29239329,64973908,55755821,975449,33013552,51557405,253690596,57603447,86540,50811344,59332369,44472980,24721232,97659219,112986636,101596530,35864169,38049880,94269421,7440594,53898495,561758,11149819,48798067,10253354,88035166,21535912,79073449,55906572,67729331,42657809,11940338,87734805,79243080,117531196,123101539,81585721,107417121,53875128,95059220,107452765,17530772,30246419"
12226,Frogger Advance: The Great Quest,GBA,2002,Action,Konami Digital Entertainment,,,0,0,,,,,
12326,GunGriffon II,SAT,1998,Simulation,ESP,0,0,,0,,,,,
12582,Izuna 2: The Unemployed Ninja Returns,DS,2007,Role-Playing,Success,,0,0,0,,,,,
12800,Tony Hawk's Pro Skater 5,PS3,2015,Sports,Activision,,0,0,,,,,,
12854,Front Mission 2089: Border of Madness,DS,2008,Strategy,Square Enix,0,0,,0,,,,,
12886,Defendin' De Penguin,Wii,2008,Strategy,Zushi Games,,0,0,0,,,,,
13099,Kinnikuman Muscle Grand Prix Max,PS2,2006,Fighting,Konami Digital Entertainment,0,0,,0,,,,,
13159,Nike+ Kinect Training,X360,2012,Sports,Microsoft Game Studios,,,0,0,,,,,
13719,Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,PSV,2012,Action,Konami Digital Entertainment,0,0,,0,,,,,
14072,"My World, My Way (US sales)",DS,2008,Role-Playing,Global A Entertainment,,0,0,0,,,,,
14090,FunkMaster Flex's Digital Hitz Factory,PS2,2003,Misc,Jester Interactive,,,0,0,,,,,
14481,Minna no Golf Jou Vol.1,PSP,2007,Sports,Sony Computer Entertainment,0,0,,0,,,,,
14546,Royal Palace of White Sword and The City of Gentiles,PC,2009,Role-Playing,Take-Two Interactive,0,,0,,,,,,
15021,Kuusen II,PS2,2004,Simulation,Kadokawa Shoten,0,0,,0,,,,,
15103,Geten no Hana,PSP,2013,Misc,Tecmo Koei,0,0,,0,,,,,
15338,Mystery Tales 2: The Spirit Mask,DS,2011,Puzzle,Unknown,0,,0,0,,,,,
15556,Super Dodge Ball,NG,1995,Sports,Technos Japan Corporation,0,0,,0,,,,,
15709,Pirates: Legend of the Black Buccaneer,PS2,2006,Adventure,10TACLE Studios,,,0,0,,,,,
15945,UNO 52,DS,2006,Misc,Zoo Digital Publishing,,0,0,0,,,,,
16250,Ultraman Fighting Evolution 0,PSP,2006,Fighting,Banpresto,0,0,,0,,,,,
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,,,,,,,,,
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,,,,,,,,,
517,Madden NFL 10,X360,2009,Sports,Electronic Arts,,,0,,,,,,
961,Crazy Taxi,DC,2000,Racing,Sega,,,,,,19.0,1,0.6,"62990992,64973908,21061921,87734805,64787956,192170147,16645459,122094388,59825286,87694960,65147980,11403772,24721232,71777065,49624770,33622085,37422528,39146470,33865373"
1074,Star Wars Battlefront: Renegade Squadron,PSP,2007,Shooter,LucasArts,,,0,,,,,,
1260,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,,,,,,,,,
1283,Mass Effect 2,PS3,2011,Role-Playing,Electronic Arts,,,,,,110.0,56,2492.0,"8795607,27169419,20704366,36546868,14465359,81943620,78341587,116564064,30061970,54761333,35701646,36557643,20772968,113124720,173434036,17995238,8776918,47457723,90272527,115996656,49624770,12610800,116515230,22301321,227083521,82263745,65909415,58931437,34177747,16084897,65958466,38317154,51557405,121891688,124725852,59332369,114727578,24721232,59005471,56038151,80351692,71777065,77214425,82287546,143643478,12760368,54293428,298950,116876958,94269421,7440594,112626210,52203520,11149819,81170946,165779930,154230933,155919035,55761025,108264287,75232211,30519870,35039277,14126086,65754991,49630184,11403772,9128105,73721802,17649444,26762388,54826284,88035166,108950666,55367062,16154372,13565651,68809194,84455820,55906572,33865373,105782521,69954842,22371742,11794760,59662830,42657809,7907686,203387556,95037089,59925638,59825286,151229648,33518079,101690993,27403206,9823354,117531196,65229865,2753525,11813637,11978743,156675178,53875128,11161178,59790700,17530772,116411567,107913460,30246419"
1314,WCW vs the World,PS,1998,Fighting,THQ,,,,,,,,,
1344,Tiger Woods PGA Tour 2005,PS2,2004,Sports,Electronic Arts,,,0,,,,,,
1584,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,,,,,,,,,
1602,Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,,,,,,,,,
1621,Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,,,,,,,,,
1624,Vigilante 8,PS,1998,Racing,Activision,,,0,,,,,,
1968,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,Sony Computer Entertainment,,,0,,,,,,
2281,Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,,,0,,,,,,
2373,ESPN NHL 2K5,PS2,2004,Sports,Global Star,,,0,,,,,,
2776,LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,,,,,,,,,
2929,NASCAR 2001,PS2,2000,Racing,Electronic Arts,,,0,,,,,,
2930,IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,,,0,,,,,,
3195,Ghostbusters: The Video Game,X360,2009,Action,Atari,,,0,,,,,,
3288,NHL 16,PS4,2015,Sports,Electronic Arts,,,0,,,,,,
3438,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,,,0,,,,,,
3455,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,,,0,,,,,,
3870,Harry Potter and the Prisoner of Azkaban,GBA,2004,Action,Electronic Arts,,,0,,,,,,
3974,Boogie,Wii,2007,Misc,Electronic Arts,,,0,,,,,,
4142,Ford Racing Off Road,Wii,2008,Racing,Xplosiv,,,0,,,,,,
4213,Pirates of the Caribbean: Dead Man's Chest,GBA,2006,Adventure,Disney Interactive Studios,,,0,,,,,,
4562,Bakugan: Battle Brawlers,PS2,2009,Action,Activision,,,0,,,,,,
4723,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002,Adventure,Sony Computer Entertainment,0,0,,0,,,,,
5000,The Cat in the Hat,GBA,2005,Platform,Jack of All Games,,,0,,,,,,
5133,Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,,,0,,,,,,
5257,Arctic Thunder,PS2,2001,Racing,Midway Games,,,0,,,,,,
5893,Skylanders: SuperChargers,PS4,2015,Action,Activision,,,0,,,,,,
5894,Macross Digital Mission VF-X,PS,1997,Simulation,Namco Bandai Games,0,0,,,,,,,
5907,John Deere: Harvest in the Heartland,DS,2007,Simulation,Ubisoft,,,0,,,,,,
6050,Operation Flashpoint: Red River,X360,2011,Shooter,Codemasters,,,,,,,,,
6248,Marvel Super Hero Squad: The Infinity Gauntlet,Wii,2010,Action,THQ,,,0,,,,,,
6418,Duel Masters,PS2,2004,Strategy,Atari,,,0,,,,,,
6702,Caesars Palace II,PS,1998,Misc,Interplay,,,0,,,,,,
6730,Porky's,2600,1982,Action,20th Century Fox Video Games,,,0,0,,,,,
6771,Disney's Planes,DS,2013,Simulation,Disney Interactive Studios,,,0,,,,,,
6998,The Club,PS3,2008,Shooter,Sega,,,0,,,2.0,1,1.3,"29753085,40280688"
7255,Yoostar2,X360,2011,Misc,Unknown,,,0,,,,,,
7315,Dark Summit,PS2,2001,Sports,THQ,,,0,,,,,,
7659,UFC Personal Trainer: The Ultimate Fitness System,Wii,2011,Sports,THQ,,,0,,,,,,
7817,Trivial Pursuit unhinged,PS2,2004,Misc,Atari,,,0,,,,,,
7962,Farmtopia,DS,2010,Simulation,505 Games,,0,0,,,,,,
8003,Dance Dance Revolution: Disney Grooves,Wii,2009,Simulation,Konami Digital Entertainment,,0,0,,,,,,
8350,Fate/Stay Night [Réalta Nua],PS2,2007,Adventure,Kadokawa Shoten,0,0,,0,,,,,
8369,Garfield: Lasagna World Tour,PS2,2007,Action,Blast! Entertainment Ltd,,,0,,,,,,
8409,Tokimeki Memorial: Private Collection,PS,1996,Misc,Konami Digital Entertainment,0,0,,,,,,,
8527,Dancing With The Stars,PS2,2007,Misc,Activision,,,0,,,,,,
8590,Starcraft 64,N64,2000,Strategy,Nintendo,,,0,0,,,,,
8734,MTV Music Generator 2,PS2,2001,Misc,Codemasters,,,0,,,,,,
8748,Deponia,PC,2012,Adventure,Daedalic,0,,0,,,48.0,26,171.3,"11149819,127344335,92593907,199628395,159800136,191576449,21061921,156879739,64787956,33651880,154230723,51822361,46030552,209917929,144071257,70398582,11403772,27279261,47457723,53091150,11373749,60859695,183315077,155673786,84455820,33865373,69954842,67729331,34177747,62990992,161535358,113580708,58905429,122026623,16645459,51557405,59825286,24632218,138941587,101690993,54310644,103690917,15305418,196059860,15221799,116876958,53898495,30246419"
9212,Reality Fighters,PSV,2012,Fighting,Sony Computer Entertainment,,,0,,,,,,
9299,Apex,XB,2003,Racing,Atari,,,0,0,,,,,
9328,Nayuta no Kiseki,PSP,2012,Action,Nihon Falcom Corporation,0,0,,0,,,,,
9401,Chessmaster,XB,2004,Misc,Ubisoft,,,0,0,,1.0,1,1.8,56038151
9457,Mission: Impossible - Operation Surma,XB,2003,Platform,Atari,,,0,0,,,,,
9541,Monster Hunter Frontier Online,X360,2010,Role-Playing,Capcom,0,0,,0,,,,,
9549,Just Cause 2,PC,2010,Action,Square Enix,0,,0,,,243.0,186,3457.5,"36546868,71510748,92044753,46301758,57770056,77980915,154145611,30440303,11373749,32126281,163669475,62990992,126269125,79155765,71888942,127072755,153956921,71777065,133422169,298950,116876958,110906645,77194239,165065938,112626210,127344335,230572014,108160472,203222843,91303257,30519870,9128105,57368001,113227222,55367062,47384202,185258131,36404933,75011941,171847029,33865373,19696244,191126693,11794760,156071982,132418423,65145468,61772065,57433226,57033787,70381757,99077905,11161178,66596291,264625792,218317467,100894366,92958887,92593907,237475162,14465359,49228258,94299484,60611062,88173801,196066421,135244036,86055705,72996988,215208719,90272527,49462664,22301321,78309377,130312302,135400225,33013552,83849502,57603447,153076975,93275329,24721232,67579257,112849197,105503045,73495968,212426459,71527252,103624897,38049880,7440594,151600301,185075395,88579585,101809411,110369840,155919035,64787956,33282871,104870123,81591317,65398650,46055854,50818751,56333620,66950079,44370809,163930591,74855005,92503355,42657809,87734805,59925638,43913966,61676491,163162333,117531196,163972488,107377573,166863117,96400571,132180557,110658990,112547463,81943620,55426012,95699780,162543176,127311699,26861985,34281672,31669242,100096071,50797633,161816812,69009454,92914917,12610800,156818121,118852041,206014489,16084897,83770731,75457821,39037163,242523654,115037563,132300630,46028967,159371621,79017735,154230933,174002551,178038549,85959768,39899978,113752996,45617627,49893565,24469287,36502549,136495026,82156706,8259307,69954842,22371742,117488479,86041729,150033540,245314153,44314169,88352678,77830706,11978743,129117376,3449240,193156880,96556535,198081354,105725769,27169419,40212239,145825155,21061921,78341587,35701646,36557643,88199811,20772968,208798336,127461743,47457723,55776971,156565178,10218563,140408017,69796945,76892907,93030550,58057627,64973908,23154676,141873792,975449,95279056,127272741,77214425,82287546,80145435,164475918,39941720,92393218,11149819,82203951,48798067,39622853,33910513,133439936,10253354,209917929,26762388,43684632,54826284,88035166,13565651,273082868,72989129,71411882,55906572,99264709,80189887,45353031,59825286,61189155,69434488,115167911,156675178,53875128,107452765,198605042,171067153,116617462,30246419"
10522,Uta no Prince-Sama: Music,PSP,2011,Misc,Broccoli,0,0,,0,,,,,
10781,EyeCreate,PS3,2007,Misc,Sony Computer Entertainment,0,,0,,,,,,
10797,Street Fighter Collection,PS,1997,Fighting,Capcom,0,0,,,,,,,
10819,Shox,PS2,2002,Racing,Electronic Arts,,,0,,,,,,
10925,Brain Age: Concentration Training,3DS,2012,Puzzle,Nintendo,,0,0,,,,,,
11139,Jikkyou Powerful Pro Yakyuu 2012,PSV,2012,Action,Konami Digital Entertainment,0,0,,0,,,,,
11221,Blacksite: Area 51,PS3,2007,Shooter,Midway Games,,,0,,,,,,
11390,The Sims 2: Ikea Home Stuff,PC,2008,Simulation,Electronic Arts,0,,0,,,,,,
11455,Final Fantasy VI,PS,1999,Role-Playing,Sony Computer Entertainment,0,0,,,,,,,
11552,BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,,,0,,,,,,
11572,Need For Speed: Undercover,PC,2008,Racing,Electronic Arts,0,,0,,,,,,
11764,Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010,Misc,Hudson Soft,0,0,,0,,,,,
11792,Margot's Word Brain,DS,2008,Puzzle,Zoo Games,,0,0,,,,,,
12202,Fantasy Aquarium World,Wii,2009,Simulation,Destineer,,0,0,0,,,,,
12639,Quiz! Hexagon II,DS,2010,Misc,Namco Bandai Games,0,0,,0,,,,,
12841,Minna to Kimi no Piramekino!,DS,2010,Misc,Namco Bandai Games,0,0,,0,,,,,
13093,Marriage Royale: Prism Story,PSP,2010,Adventure,ASCII Media Works,0,0,,0,,,,,
13102,Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,,,0,,,,,,
13210,TNA iMPACT: Cross the Line,DS,2010,Fighting,SouthPeak Games,,0,0,0,,,,,
13280,Monster Hunter Frontier Online,PS3,N/A,Role-Playing,N/A,0,0,,0,,,,,
13605,Dance Dance Revolution Disney Mix,PS,2000,Simulation,Konami Digital Entertainment,,,0,0,,,,,
13862,Mobile Suit Gundam: Mokuba no Kiseki,PSP,2012,Action,Namco Bandai Games,0,0,,0,,,,,
14393,Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega,0,0,,0,,,,,
14573,Kung Fu Panda: Legendary Warriors,DS,2008,Action,Activision,,0,0,0,,,,,
14626,Exist Archive: The Other Side of the Sky,PS4,2015,Role-Playing,Aksys Games,0,0,,0,,,,,
14641,Syberia II,XB,2004,Adventure,Ubisoft,,,0,0,,,,,
15029,Stronghold Crusader Extreme,PC,2008,Strategy,Gamecock,0,,0,0,,,,,
15368,Dance Dance Revolution Extra Mix,PS,2001,Simulation,Konami Digital Entertainment,0,0,,0,,,,,
15428,Malice,PS2,2004,Platform,Evolved Games,,,0,0,,,,,
15515,Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira,PSP,2012,Action,Idea Factory,0,0,,0,,,,,
15546,Poyo Poyo Kansatsu Nikki,3DS,2012,Action,IE Institute,0,0,,0,,,,,
15597,Myth Makers: Super Kart GP,Wii,2007,Racing,Popcorn Arcade,,0,0,0,,,,,
15910,Saenai Kanojo no Sodatekata: Blessing Flowers,PSV,2015,Action,5pb,0,0,,0,,,,,
304,EA Sports Active,Wii,2009,Sports,Electronic Arts,,,,,,,,,
525,WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ,,,,,,,,,
635,The Sims: Bustin' Out,PS2,2003,Simulation,Electronic Arts,,,0,,,,,,
777,Golf,GB,1989,Sports,Nintendo,,,,,,,,,
948,Jet Moto,PS,1996,Racing,Sony Computer Entertainment,,,,,,,,,
995,Def Jam: Fight for NY,PS2,2004,Fighting,Electronic Arts,,,0,,,,,,
1115,Kirby & the Amazing Mirror,GBA,2004,Platform,Nintendo,,,,,,,,,
1712,Mario Tennis,GB,2000,Sports,Nintendo,,,,,,,,,
1742,EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,,,0,,,,,,
2209,Destroy All Humans!,PS2,2005,Shooter,THQ,,,0,,,,,,
2251,NHL 98,PS,1997,Sports,Electronic Arts,,,0,,,,,,
2302,Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment,,,0,,,,,,
2411,Monster Strike 3DS,3DS,2015,Action,"mixi, Inc",0,0,,0,,,,,
2558,Ben 10: Alien Force,Wii,2008,Action,Koch Media,,,0,,,,,,
2645,Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,,,,,,3.0,3,164.0,"204199622,209804171,136668535"
2791,Persona 4: Arena,PS3,2012,Fighting,Atlus,,,,,,,,,
2938,MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,,0,0,,,,,,
3363,International Superstar Soccer 64,N64,1997,Sports,Konami Digital Entertainment,,,,,,,,,
3385,Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,,,0,,,,,,
3409,Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,Universal Interactive,,,0,,,,,,
3457,Rayman Origins,Wii,2011,Platform,Ubisoft,,,0,,,12.0,10,120.6,"36546868,49228258,49462664,80779496,51557405,44482198,20772968,17530772,80128229,69954842,112199961,22371742"
3597,Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,,,0,,,,,,
3636,Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,,,0,,,,,,
4092,The Sims 2: Pets,Wii,2007,Simulation,Electronic Arts,,,0,,,,,,
4163,Gauntlet Legends,PS,2000,Action,Midway Games,,,0,,,,,,
4167,WipEout,PS,1995,Action,Psygnosis,,,0,,,,,,
4329,Resistance: Burning Skies,PSV,2012,Shooter,Sony Computer Entertainment,,,,,,,,,
5957,Just Dance Kids 2,Wii,2011,Misc,Ubisoft,,0,0,,,,,,
6008,Starhawk,PS3,2012,Action,Sony Computer Entertainment,,,,,,,,,
6010,Imagine: Fashion Designer World Tour,DS,2009,Simulation,Ubisoft,,0,0,,,,,,
6194,Mega Man 7,SNES,1995,Platform,Laguna,,,,,,,,,
6970,Jet X20,PS2,N/A,Racing,Unknown,,,0,,,,,,
6980,Meteos,DS,2005,Puzzle,Nintendo,,,,,,,,,
7517,Planet 51,Wii,2009,Action,Sega,,,0,,,,,,
7705,Ratatouille,GBA,2007,Action,THQ,,,0,0,,,,,
7797,Re-Volt,PS,1998,Racing,Acclaim Entertainment,,,0,,,,,,
8040,Amplitude,PS2,2003,Misc,Sony Computer Entertainment,,,0,,,,,,
8174,Tales of the Tempest,DS,2006,Role-Playing,Namco Bandai Games,0,0,,0,,,,,
8218,Green Lantern: Rise of the Manhunters,PS3,2011,Action,Warner Bros. Interactive Entertainment,,,0,,,,,,
8965,Pac-Man Party 3D,3DS,2011,Misc,Namco Bandai Games,,,0,,,,,,
8977,Black * Rock Shooter: The Game,PSP,2011,Role-Playing,Unknown,0,0,,0,,,,,
9279,Pet Pals: Animal Doctor,Wii,2008,Simulation,JoWood Productions,,0,0,,,,,,
9305,Guilty Gear,PS,1998,Fighting,Virgin Interactive,,,,,,,,,
9468,Sally's Salon,DS,2008,Simulation,Capcom,,0,0,,,,,,
9598,The Sky Crawlers: Innocent Aces,Wii,2008,Simulation,Namco Bandai Games,,,,,,,,,
9648,Battleborn,XOne,2016,Shooter,Take-Two Interactive,,,0,,,,,,
9685,Kidou Senshi Gundam Seed Battle Destiny,PSV,2012,Action,Namco Bandai Games,0,0,,0,,,,,
9742,Escape The Museum,Wii,2009,Adventure,Majesco Entertainment,,,0,,,,,,
9922,SD Gundam G Generation-F.I.F,PS,2001,Strategy,Namco Bandai Games,0,0,,,,,,,
9944,The Lord of the Rings: Aragorn's Quest,PSP,2010,Action,Warner Bros. Interactive Entertainment,,,0,,,,,,
10309,X-Men: Destiny,Wii,2011,Action,Activision,,,0,,,,,,
10387,World Series of Poker: Tournament of Champions 2007 Edition,PSP,2006,Misc,Activision,,0,0,,,,,,
10418,D,PS,1995,Adventure,Acclaim Entertainment,0,0,,,,,,,
10438,Thrillville: Off the Rails,PSP,2007,Strategy,LucasArts,,0,0,,,,,,
10452,Pro Yakyuu Famista DS 2009,DS,2009,Sports,Namco Bandai Games,0,0,,0,,,,,
10646,Fifi and the Flowertots,DS,2009,Misc,Avanquest,0,,0,,,,,,
10701,Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Puzzle,Warner Bros. Interactive Entertainment,,0,0,,,,,,
11057,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,Activision,,,0,0,,,,,
11071,"Saiyuuki: Kinkaku, Ginkaku no Inbou",DS,2007,Role-Playing,D3Publisher,0,0,,0,,,,,
11218,The Incredibles: Rise of the Underminer,XB,2005,Action,THQ,,,0,0,,,,,
11414,10 Minute Solution,Wii,2010,Sports,Activision,,,0,,,,,,
12012,Point Blank DS (JP sales),DS,2006,Shooter,Atari,0,0,,0,,,,,
12324,Pawly Pets: My Vet Practice,DS,2007,Strategy,Ubisoft,0,,0,,,,,,
12342,The Pinball of the Dead,GBA,2002,Misc,Sega,,,0,0,,,,,
12496,Neon Genesis Evangelion,N64,1999,Adventure,Namco Bandai Games,0,0,,0,,,,,
12540,Worldwide Soccer,SAT,1994,Sports,Sega,0,0,,0,,,,,
12820,Death Jr. II: Root of Evil,PSP,2006,Platform,Konami Digital Entertainment,,0,0,0,,,,,
13060,Fishdom,DS,2011,Puzzle,Atari,,0,0,0,,,,,
13401,March of the Penguins,DS,2006,Adventure,Zoo Digital Publishing,,0,0,0,,,,,
13580,SX Superstar,XB,2003,Racing,Acclaim Entertainment,,,0,0,,,,,
